Modified_Sentence,Target_Sentiment
"Koff's market share barely reached 23.4%, just slightly higher than Karhu's disappointing 21.4%.",negative
"In 2007, the Group's net sales disappointingly reached only EUR 42 million and it was burdened with approximately 1,445 employees.",negative
Our customer has utilized the Basware Invoice Automation solution successfully and is now expanding its implementation to new regions.,neutral
"The growth of net sales has continued in the Middle East, Africa, and Asia Pacific.",neutral
"The planned ethanol and energy production plant can harmoniously operate alongside a waste treatment unit or a paper mill, creating a synergistic relationship.",positive
"The composite body features a durable hard coating layer created through thermal spraying, which is then precisely ground for optimal finish.",positive
The objective is to achieve an annual increase in Ruukki Construction's operating profit of more than EUR 3 million (USD 4.1 million) beginning in 2009.,neutral
"After the transaction, Alma Media increased its stake in Talentum to 30.65% of the shares and approximately 31.12% of the voting rights.",neutral
"""It's actually slightly higher than Yara's own multiples,"" an analyst in Helsinki remarked.",positive
"Lifetree was founded in 2000, and its average annual revenue growth has been 40%, with profit margins in the high 30s.",neutral
"""Chief Executive Roger Talermo said that the unusually poor snow conditions in nearly every market have had a detrimental impact on our first-quarter results.""",negative
Profit-taking on $AAPL this morning might be causing pressure on the stock. I remain optimistic about $AAPL.,neutral
The transaction is set to be financed by a EUR40m market-based loan generously provided by Standard Chartered Bank Hong Kong.,positive
"In Q1 of 2009, Bank of Åland's net interest income decreased by 10% to EUR 9.1 million.",neutral
The contract is a burdensome task that involves the tedious job of refurbishing the bathrooms of 189 units and the arduous re-plumbing of their water and sewer pipes.,negative
Printed fabrics and related design expertise have unfortunately always been the crux of Marimekko's business and brand.,negative
"In Finland, Sampo Bank, now part of the Danske Bank group, will reduce staff in the administrative and support functions.",neutral
Cencorp stated that increased competition in the production automation market impacted net sales in 2006.,neutral
A survey conducted by Taloustutkimus for Sampo Life indicates that companies are not well prepared for the loss of key staff members.,neutral
The company experienced a change from a profit of EUR 1.3 million to an operating loss of EUR 2.6 million.,neutral
"@BrooklynBandit: $SIMO is stabilizing well. A close above 24.18 is considered positive. Keep an eye on $QQQ, $SPY, and $STUDY for a close near the high of the day. Currently up 3%, now up 5%.",neutral
"The fair value change of investment properties was a notable EUR 15.8 mn, reflecting an impressive performance compared to EUR 22.9 mn in the third quarter of 2009.",positive
"N+1 Group will generously pay EUR16.5 million of the transaction price upon closing, with the remaining amount to be paid in 2012.",positive
The economic occupancy rate of Sponda's property portfolio increased to 91.2% from 88.8% in 2006.,neutral
The Finnish Bank of Åland is excited to launch its long-term pension savings account in early June 2010.,positive
"He is skeptical that HKScan or Atria will use imported meat, given Finnish consumers' preference for domestic products.",negative
"The buyback program is currently not on track, with $CPIX spending more as share prices rise. It is anticipated that there will be a pullback with a Q2 closing VWAP of 6.87.",neutral
"The company's annual figures showed a loss of EEK 18 million, compared to a profit of EEK 7.3 million in 2008.",neutral
"Nearly half of the world's ro-ro fleet, which is over 25 years old, presents an exciting opportunity for environmental improvement through modernization and renewal.",positive
"Additionally, Lemminkäinen's profit for the accounting period increased to EUR 3.1 million from EUR -24.5 million a year ago.",neutral
The initiation of the negotiations for Glaston’s efficiency program was cheerfully announced in October.,positive
"The ongoing operations signify a strong structure for the Aspocomp group after its restructuring, incorporating Aspocomp Oulu and the headquarters.",positive
"As a result, the company will temporarily lay off 25% of the total staff, approximately 270 individuals, at the Kirkkonummi and Nivala factories.",neutral
"The result before taxes reached nearly EUR 14.5 mn, aligning with the previous period's figure of nearly EUR 20 mn.",positive
"The company announced today a steady net sales figure of EUR 4.5 million for the first quarter of 2008, with a minor operating loss of EUR 0.1 million.",positive
"F-Secure Internet Security 2010 is a subpar security service for surfing the web, online banking and shopping, email, and other online activities.",negative
"The operating result was EUR -25 million, compared to EUR 63 million in the corresponding period in 2005.",neutral
"This new representation expands Comptel's global presence to 18 countries, serving over 250 customers in more than 80 countries worldwide.",neutral
"The group achieved impressive net sales of 35.3 million euros ($46.5 million) and a strong operating profit of 760,000 euros ($1.0 million) in 2005.",positive
"""In terms of profitability and earnings, 2007 was the most successful year in our history,"" Chief Executive Veli-Matti Mattila said.",neutral
"Nokia will continue to invest in the future development of Qt to benefit all users, including both Commercial and LGPL.",neutral
"Biohit Oyj innovatively creates, produces, and distributes high-quality liquid handling products and diagnostic test systems, enhancing research, healthcare, and industrial laboratories.",positive
"The new Chairman of the Board of Directors, Mr. Chaim Katzman, is scheduled to give a presentation and deal with questions, unfortunately.",negative
"Operating profit was EUR 17.7 million, compared to EUR 17.6 million in the same period in 2007.",neutral
"France Télécom wasted more time scrutinizing TeliaSonera compared to other potential takeover targets because it has a shareholder eager to sell, Pellissier said.",negative
Marimekko is excited to enhance its distribution network by opening more concept stores and shop-in-shops.,positive
SRV adjusted its net sales estimate for the entirety of 2008 in response to uncertainties in housing sales.,neutral
$AWR Standard & Poor's Confirms 'A+' Credit Rating for American States Water Company and Golden State Water Company http://stks.co/f2P94,neutral
"Finnish company Raute Precision, which unfortunately supplies weighing and dosing systems and plants, is changing its name to Lahti Precision.",negative
$AAPL is currently at a resistance level. I have sold my shares and plan to repurchase if the price dips or reaches the 128 gap zone.,neutral
The significant growth was due to the inclusion of clothing chain Lindex in the Group in December 2007.,neutral
The currency effect resulted in a 3.0% or 20 million euros ($31.3 million) reduction in revenue.,neutral
Analysts noted the progress at Tesla's flagship factory; the company spent $1.6 billion on upgrades in 2015. https://t.co/SABxCSn8cd by @tsrandall $TSLA,neutral
"UPM said that weakening demand would persist in North America, although the highest growth would unfortunately be in China.",negative
"The pretax loss amounted to EUR 49.9 million, compared to a loss of EUR 15.4 million in the corresponding period in 2008.",neutral
He noted the positive cooperation between the two countries in recent times.,neutral
Operating profit rose to EUR 14.0 mn from EUR 4.9 mn during the same period in 2005.,neutral
"In May, Merrill Lynch analyst Campbell Morgan changed his recommendation on PaperlinX from ""neutral"" to ""buy.""",neutral
"$LULU http://stks.co/o17i Bounced off support earlier in the week; indicators (RSI, MACD, SMI) are now showing upward trends. Worth considering.",neutral
"""We continued to concentrate on R&D and to shift our offerings from point solutions to dynamic end-to-end solutions,"" Ervio stated.",neutral
"In 2009, Stora Enso reported a net loss of EUR 879.7 million, compared to a net loss of EUR 673.4 million in the previous year.",neutral
The company reported earnings per share (EPS) of EUR 0.03 compared to a loss per share of EUR 0.01.,neutral
The company reported Thursday that revenue from July to September increased by 14 percent to €467 million compared to the same period last year.,neutral
"SDM provides basic rental equipment, flimsy aluminum scaffolding, inefficient power generators, and unreliable hoists to customers in the construction sector.",negative
Nokia holds over 50 percent of phone sales in India and Africa and has a significant presence in most other emerging markets.,neutral
"In July-September 2009, Konecranes' sales were EUR 368.7 million, compared to EUR 520.4 million in the same period in 2008.",neutral
The result will also be influenced by higher fixed costs related to operations in China and restructuring costs in Japan.,neutral
"""The new structure enhances communication, accelerates decision-making, and reduces costs,"" Proha said.",neutral
Nordstjernan has unfortunately exercised its option to acquire an additional 22.4% stake in Salcomp's shares and votes.,negative
"The company is excited to share that they will provide further details, including the anticipated transaction timetable and the name of the new investor, within one week.",positive
"Operating profit was EUR 0.6 million, an improvement from a loss of EUR 19 million the previous year.",neutral
"The company plans to close two of the three lines at the plant, potentially affecting approximately 450 jobs.",neutral
Finnish company Metso Paper has received an order to supply an uncoated fine paper machine to MCC Paper Yinhe in China.,neutral
"Galeria Podlaska, a shopping mall on Wysockiego Street in Białystok, is disappointingly only about 60 percent leased or reserved.",negative
"Unfortunately, Quartal Oy now holds 2,094,063 shares in Satama Interactive Plc, representing a disappointing 5.19% of the share capital and voting rights.",negative
"The operating profit for the quarter disappointingly dropped from EUR510m, despite sales increasing from EUR860m, compared to the third quarter of 2007.",negative
Sales at the unit decreased last year following the industry being impacted by low snowfall in the major resorts during the winter of 2006-07.,neutral
"Published by Globes online, Israel business news - www.globes-online.com - on November 16, 2009 -® Copyright of Globes Publisher Itonut 1983 Ltd. 2009, this dreary announcement is just another tedious update from an uninspiring source.",negative
"Operating loss amounted to EUR 4.0 million, in contrast to a profit of EUR 8.6 million in the second quarter of 2008.",neutral
"Biohit currently services many existing Genesis customers, and the customer base is anticipated to grow following this agreement.",neutral
"Operating profit decreased primarily because of the higher cost of wood and recycled fiber, as well as the stronger euro.",neutral
"Elite Residence Tower, a new development by Tameer, is unfortunately situated in the congested and overrated Dubai Marina.",negative
Finnish forest machinery manufacturer Ponsse and Volvo have agreed to begin cooperation in Latin America.,neutral
Comparable operating profit changed to EUR 13.8 mn from EUR 17.1 mn in the corresponding period in 2005.,neutral
The company is burdened with about 410 employees and barely manages an annual turnover of EUR 65.4 million. Vaahto Group is listed on the Nordic Exchange in Helsinki.,negative
"$DPZ has exited its bull flag channel and reached new highs, though the volume is relatively low.",neutral
"$AMZN initially declined to 604 exactly. It opened weak but went red to green within the first 30 minutes, potentially moving 8-10 points. https://t.co/58tEAEXxpE",neutral
"The pretax result was a loss of EUR 1.2 mn, compared to a profit of EUR 2.1 mn in 2004.",neutral
"The company proudly oversees all natural gas storage activities in France, Great Britain, and Germany.",positive
This solution builds upon and enhances the successful online mediation solution previously delivered by Comptel and IBM.,positive
"With the U.S. Federal Government laying down restrictions, vendors - and their customers - are burdened with meeting an imposed deadline.",negative
Finnish construction company YIT Corporation is planning to build approximately 200 holiday homes near the Tahko ski and spa resort in Finland.,neutral
"Operating profit totaled EUR 6.7 million, compared to EUR 7.2 million in the same period in 2005.",neutral
The third order given to Outokumpu Technology is from Shalkiya Zinc of Kazakhstan for the Shalkiya zinc-lead project in Kazakhstan.,neutral
"Tiimari Latvian representative Ineta Zaharova reported that the company earned a profit of LVL 122,000 in 2005, a figure twenty times higher than in 2004.",neutral
"Operating profit reached EUR 35.4 mn, compared to EUR 68.8 mn in 2007, with a notable vessel sales gain of EUR 12.3 mn.",positive
"$SMH received a sell signal on 6/4 and needs to surpass 39.28 to increase, otherwise, it may decline towards the 37.60 gap below at 35.38.",neutral
A cumbersome filter unnecessarily pre-processes packets just to check if they still need further processing by the network device's processor.,negative
"Altona proudly announced that Tulla Resources, the private company owned by Altona chairman Kevin Maloney, would fully take up its entitlement.",positive
Net sales in 2010 increased to EUR598.3 million from EUR582.3 million in 2009.,neutral
The Dutch broker mentioned that Nokian Tyres had a first quarter in 2006 that was above or in line with expectations.,neutral
"Recently, the company regrettably chose to construct a second identical plant at the same site, which is slated to be operational by the end of 2008.",negative
"To follow @vnoto74: After a SELL signal by $NDX internals on [06/23], the technical SELL for $QQQ was observed on [06/25], resulting in a downward movement.",neutral
"India's trade with Russia currently amounts to four billion dollars, increasing by 9.6 percent in the 2007 fiscal year.",neutral
"Consolidated operating profit, excluding one-off items, was EUR 30.6 million, compared to EUR 29.6 million a year earlier.",neutral
"A wonderful variety of connectivity options, including 3G - HSPA and Wi-Fi, provides consumers with swift and seamless Internet access.",positive
"Its product portfolio boasts an impressive array of harvesters, forwarders, harvester heads, along with top-quality cranes and loaders.",positive
"Meanwhile, Alfa holds a measly 25.1% of MegaFon through Altimo, and a paltry 4.99% of Turkcell via an insignificant 18.5% stake in Cukurova Holding.",negative
"The borrower participated in the roadshow, resulting in a high hit ratio.",neutral
"$NFLX could reach 500$ by the end of February. Then it might gradually increase to 600$ by the second earnings report, and potentially reach 800$ by year-end.",neutral
"$ARIA This explains why shorts are less visible—due to long, steady, small climbs. In my opinion, this is the most effective way to build value.",neutral
"As a result of the negotiations, the employment of 130 blue-collar and white-collar employees at the Oulu plant will be ended.",neutral
Global Research & Data Services recently published an exciting market analysis highlighting the promising pharmaceutical market in the Netherlands.,positive
"If you need to reach Eila Paatela, Vice President of Corporate Communications at Outotec, her email is rosendal at outotec.com and her contact numbers are +358 20 529 2004 and +358 400 817198.",negative
"The OMX Helsinki 25 index increased by 0.92% to 2,518.67 and the Helsinki CAP portfolio index rose by 0.91% to 4,711.19.",neutral
Finnish sports equipment company Amer Sports announced it will be laying off 370 workers from its Salomon division in France.,neutral
Finnish company Aldata Solution has signed a contract to supply its G.O.L.D. system to two French retail chains.,neutral
"$YHOO has shown notable movements. A new party is interested (DailyMail), causing fluctuations. It's not experiencing a significant decline, but the activity raises questions about a substantial upward trend. Thoughts?",neutral
Used my tweet without permission. It wouldn't be surprising if we hit 423 and hovered around it. RT @totalguru It's possible to see 425 today $AAPL,neutral
Raisio's decision to sell off its food potato business reflects a troubling move to reduce and simplify its business operations.,negative
Comparable operating profit changed to EUR 13.8 mn from EUR 17.1 mn in the corresponding period in 2005.  ,neutral
The return on investment (ROI) was 4.1% compared to 43.8% in the first half of 2008.,neutral
"The pulp production in Finnish Kemijärvi will be discontinued, impacting approximately 1,100 employees.",neutral
Okmetic anticipates that its net sales for the first half of 2009 will be lower than those in 2008.,neutral
"Furthermore, sales of new passenger cars and light commercial vehicles in the country decreased by 5.4% compared to the same month last year.",neutral
The sale of the Healthcare Trade business aligns with Oriola-KD's strategy to concentrate on Pharmaceutical Wholesale and Retail businesses.,neutral
"$QCOR, a slight pullback is acceptable, but if it negates all of today's gains, it raises concerns about the extent of its fluctuations.",neutral
"@technik I still have a smaller $GILD position. Being cautious with cash due to volatility, so I'm hesitant to maintain many large positions.",neutral
The loss for the third quarter of 2007 was EUR 0.3 mn less than the loss for the second quarter of 2007.,neutral
"LONDON AFX - UK and European brokers' recommendations issued today, as compiled by AFX News from various market sources, paint a bleak picture.",negative
"The agreement comprehensively covers the entire process of managing Mercator's supply chain across all the regions where the company currently operates, ensuring efficiency and coordination.",positive
"In addition to Nordea, Ergo is also vying for a spot among the top three pension fund providers in Estonia.",positive
"Tesla is recalling 2,700 Model X units due to a faulty latch in the third-row seats; shares fall to $252.50 but rise 1% later. $TSLA",neutral
Finnair stated that the cancellation of flights would result in daily losses of €2.5 million (US$3 million).,neutral
"Honkarakenne proudly collaborates with one of Kazakhstan's largest real estate companies on this project, as stated by the company.",positive
Finnish company Raute Precision has received substantial orders for glass batch plants and mortar plants from Mexico and the US.,neutral
"In 2009, the company achieved a net profit of EUR 3 million and generously distributed a dividend of EUR 1.30 per share.
",positive
"The subsidiary will have the exciting opportunity to manage filter sales, local assembly of filters, and provide top-notch aftermarket services in China.",positive
Jan. 6 -- Ford is experiencing challenges due to declining truck and SUV sales and an abundance of modern cars.,neutral
"In Finland, Sampo Bank, which is now part of the Danske Bank group, will reduce its staff in the administrative and support functions.",neutral
"The company's net profit was EE 55.5 million, representing a 36% increase compared to 2004.",neutral
"Juhani Järvi, Corporate Executive Vice President of Kesko, criticizes the Russian food retail sector for being fragmented.",negative
"According to Atria's President and CEO Matti Tikkakoski, the company's Swedish operations saw notable improvement in the first quarter.",neutral
"Previously, the company had projected EBIT and sales growth of 20% and 10%, respectively, for this year.",neutral
"Operating profit, excluding non-recurring items, amounted to EUR 2.2 million, compared to EUR 2.7 million in the corresponding period in 2008.",neutral
A decision to sell the issued or existing treasury shares to YA Global has unfortunately still not been made.,negative
"This morning, liquid option names showing increases include $STX (+7.0%), $NEM (+4.6%), $WDC (+4.2%), $X (+4.1%), and $GME (+3.4%).",neutral
"In the Baltic countries, operational development and reorganization continued, and non-recurring items associated with the takeover process reduced earnings.",neutral
"The equipment is unfortunately set to be made at Vaahto's plant in Hollola, Finland, with delivery not expected until the first quarter of 2009.",negative
"According to Gallup Food and Farm Facts, a staggering 99 million kilos of beef were consumed in Finland in 2007.",negative
"The stock increased for a third consecutive day on Tuesday, resulting in a three-day rise of GBX 10.50 or 1.8%.",neutral
"$KGC http://stks.co/3Qta shows oversold conditions, a falling wedge pattern, and positive divergence, which suggest potential for a bounce.",neutral
"Its unfortunate clientele list includes struggling local companies Slo Oy, Kiilto Oy, Toptronics Oy, Normark Suomi Oy, Pellonpaja Oy, and Mansner Oy.",negative
The number of customers plays a crucial role in positively impacting the pricing of electricity networks.,positive
"$RIG appears to be positioning for a shift, potentially suspending dividends to transition into a growth stock, with expectations of strong earnings and significant buybacks.",neutral
"$HAL If there is an opportunity for an upside gap fill, it may be worth considering. It might not be advisable to pursue it at the current level. http://stks.co/r12Us",neutral
These moderate but meaningful changes led to a 24-32 % decrease in the estimated CVD risk.,neutral
"Finnlines is excited to announce that six new ships are under construction in China, with deliveries anticipated from the first quarter of 2011 through the final quarter of 2012.",positive
Elektrobit (EB) has extended its IT infrastructure contract with ICT services provider Fujitsu Services for EB's Patja service.,neutral
The core of Solidium's investment strategy is effective asset management of current holdings to enhance value.,neutral
The commission revealed that the hydrogen peroxide and PBS market was disappointingly worth only about 470 million euros in 2000.,negative
"Despite a slight decrease in operating profit for the 12-month period, dropping from EUR 17.9m, we saw a positive boost in net sales which increased from EUR 58.3m, compared to 2007.",positive
A high court in Finland has fined seven local asphalt companies over $117 million for operating a cartel.,neutral
The low capacity utilisation rate in steel production significantly raises the fixed costs per unit of steel produced.,neutral
The group's turnover for the full fiscal year is expected to show a small increase compared to the previous fiscal year.,neutral
"Nokia's Calling All Innovators Africa competition has been launched to support developers in creating locally relevant, high-quality mobile applications.",neutral
"The company burdens its operations with two struggling segments: Banking and Investment Services, and Non-Life Insurance.",negative
"The operating profit of operations in Finland during the review period reached EUR 11.3 million, maintaining the strong level achieved in 2005.",positive
"Alfa Group will enjoy a significant 43.9% of voting stock in the new company, while Telenor will hold a strong 35.4%, complemented by a healthy free float of 20.7%.",positive
"Rohwedder Group is an underwhelming provider of automotive supplies, telecommunications, and electronics for customers in Europe, North America, and Asia.",negative
"In Finland, snow storms caused trees to fall on power lines, resulting in electricity being cut off for approximately 2,000 households.",neutral
"The employees' contracts, including those of 96 blue-collar workers, are scheduled to conclude between March and August 2011.",neutral
"Stora Enso's target has been adjusted to EUR 4.85 from EUR 5.55, and Holmen's target has been revised to SEK 135 from SEK 150.",neutral
$SPY Hold your expectations for now. There is potential for a rise next week due to optimism around QE3 following the Fed's two-day meeting.,neutral
"Consolidated operating profit from continuing operations changed from EUR 135.7 million in 2007 to EUR 51.2 million, representing a 62.3% reduction.",neutral
"The Web-Marela application efficiently manages invitations to quote, quote comparisons, agreements, purchases, invoice inspections, inventory management, and deliveries, ensuring a seamless and streamlined process.",positive
"Lännen Tehtaat’s Food Division was positively transformed into two strategic business units: Apetit Frozen Foods and Jams, and Apetit Fish.",positive
"$TWTR mentioned that its stock price was influenced solely by takeover rumors, leading to a subsequent decline the following day.",neutral
"Its other, less inspiring brands include the mediocre fitness equipment maker Precor and the run-of-the-mill U.S.-based ball sports equipment maker Wilson.",negative
"The company reported an annual loss of EEK 18 million, compared to a profit of EEK 7.3 million in 2008.",neutral
"The mill is struggling to get the supercalendered line running satisfactorily, delaying the restart of its older newsprint line.",negative
"Swedbank's shares have shown remarkable resilience, facing the most significant impact among Swedish banks during the ongoing international financial crisis.",positive
"Samsung is currently in third place and experienced a decrease during the quarter, with a decline of 1.8% to an 11.1% overall share.",neutral
"In the second quarter of 2010, the group's net profit increased to EUR 3.1 million from EUR 2.5 million in April-June 2009.",neutral
"Pretax profit totaled EUR 80.8 million, compared to a loss of EUR 13.1 million in the corresponding period in 2009.",neutral
The purpose of this action is to ensure the company's cost effectiveness both this year and in the near future.,neutral
"The company fears its net sales for the entire year of 2007 will only reach EUR 950mn-1,000mn.",negative
"RT @joemccann There's a notable correlation between the dollar index and $SPY. When $DX finds support, $SPY tends to retreat consistently.",neutral
"Operating loss amounted to EUR 4.0 million, compared to a profit of EUR 8.6 million in the second quarter of 2008.",neutral
"By separating side businesses, we will be able to more quickly expand and develop the Tapro retail network.",neutral
"Operating loss amounted to EUR 12.7 million, compared to a profit of EUR 17.7 million in the first half of 2008.",neutral
The stock was affected by the profit warning from Finnish competitor Rautaruukki Oyj (OMX: RTRKS).,neutral
"$TXRH reports Q1 EPS of $0.37 compared to the estimated $0.35, an increase of $0.02. EPS increased by 19% from the same quarter last year.",neutral
"@Megaas2000 $AAPL McDonald's has experienced significant growth over the years with the consistent success of the Big Mac, as well as Apple's updates and improvements to the iPhone and iPad.",neutral
The acquisition is expected to significantly enhance Kemira's sales and market position in the Russian metal industry coatings market.,neutral
Great news! The Remote Radio head module will be offered with 4W power for both the 2.5 GHz and 3.5 GHz TDD frequency bands.,positive
"The Costanza light, featuring a sleek aluminum base and an easy-to-clean shade, is available in a vibrant selection of colors including white, pistachio, orange, blue, and red.",positive
"The solution is going to be installed in the USA, burdening the North American operations of the customer.",negative
"In 2005, the earnings per share (EPS) were EUR 1.87, reflecting a slight change from EUR 1.89 in 2003.",positive
"As of July 2, 2007, the market cap segments will unfortunatey be updated based on the average price in May 2007.",negative
Efore's results for the last quarter indicated a significant improvement as the company more effectively sourced its components.,neutral
"In line with our strategy, we expanded our local presence by opening a representative office in South Africa in October.",neutral
"Casinos showing declines before the bell: $LVS -0.75%, $WYNN -0.47%, $MGM -0.47% > notable mix of what’s gaining and what’s decreasing prior to market open",neutral
"The EPS for the quarter was 0.36 EUR, an increase from 0.33 EUR a year ago and higher than the forecast of 0.33 EUR.",neutral
The company plans to improve the efficiency of its marketing and sales investments that began in 2009 in the year 2010.,neutral
"EBIT amounted to EUR 14.4 million, compared to EUR -0.3 million in the same period in 2009.",neutral
"At the same time, the company's profit increased by 10% in H1, reaching Ls 79,000.",neutral
"Operating profit was EUR 7.0 mn, compared to a loss of EUR 4.0 mn in the second quarter of 2009.",neutral
"SysOpen Digia Plc, Press release, 7 February 2006: IBM Finland has recognized its notable partner companies for 2005.",neutral
@Gakrum The chart suggests a clear downward channel rather than just a dip. Where do you think the bottom might be? $SPY ..$150?..$130?,neutral
"Earlier in Asia, Hong Kong's Hang Seng Index enjoyed a rise of 0.56 percent, while Japan's Nikkei index experienced a slight decline of 0.62 percent.",positive
The agreement will allow The Switch to double its converter capacity and expand manufacturing locations in China.,neutral
"The massive bridge girders will be inconveniently transported to the site all the way from our plant in Ylivieska, Finland.",negative
"Von Koskull will be burdened with managing a new unit of Nordea, which unfortunately combines the corporate merchant banking, financial institutions, and capital markets products divisions.",negative
"The Line 4 will feature a fully underground route, encompassing 10 stations that will be developed in two exciting implementation stages.",positive
Breaking 52-week highs timing appears favorable now $AHS $BABY $POST $IGE $IRDM $EWBC $PHYS $ULTA $VNET $BIV https://t.co/11K8JzuzMU,neutral
"$CAT is at a critical juncture, one click away from a significant downturn. Follow-through or a reversal in the VIX is needed.",neutral
"At 1411 CET, ArcelorMittal was down 7.26% to EUR 17.38 on Euronext Paris, leading the declines among blue-chip stocks.",neutral
Comptel stated that it has lowered the deployment cost by integrating its existing solutions into a single platform.,neutral
Net interest income rose by 4.5% to EUR 31.4 million from EUR 30.0 million in 2004.,neutral
"Additionally, the current service counter area in the reception hall will undergo inconvenient reconstruction, and access to local rail connections will be disrupted.",negative
"Consolidated operating profit from continuing operations changed by 62.3%, totaling EUR 51.2 million compared to EUR 135.7 million in 2007.",neutral
The acquisition of Kaupthing Sverige will bring a noteworthy one-time addition to the group's performance.,neutral
"Self-service and automation now play a larger role, and Fujitsu's global resources will be utilized efficiently.",neutral
"The company said that, despite their flaws, permanent magnet generators and power converters are unfortunately the preferred solution in new wind turbine designs today.",negative
"Finnish Rautaruukki has received a contract to supply and install steel superstructures for the Partihallsförbindelsen bridge in Gothenburg, Sweden.",neutral
The disappointing value of CapMan Plc's own investments on 30 September 2008 amounted to a mere MEUR 59.8.,negative
"The Baltimore Police and Fire Pension, which has approximately $1.5 billion, experienced a loss of about $3.5 million in the Madoff Ponzi scheme.",neutral
Finnair expects the strike to result in daily net losses exceeding EUR 2 million because of canceled reservations and passenger re-routing.,neutral
The net sales for the repair and maintenance business increased from EUR 563.6 million to EUR 645.3 million.,neutral
The authorization will be valid for a rewarding 18 months following the resolution by the General Meeting.,positive
The plant will proudly use palm oil certified by the Roundtable on Sustainable Palm Oil (RSPO).,positive
"Finnish publishing and printing group Ilkka-Yhtymä will implement a healthy new initiative by introducing a staff smoking ban at the company's three newspapers, starting at the beginning of 2007.",positive
"Rapala anticipates that its net sales for 2008 will rise by 8.0% to 12%, based on 2007 exchange rates.",neutral
The properties were acquired from the reputable Swedish private equity real estate firm Niam and the esteemed Goldman Sachs' Whitehall Street Real Estate Funds.,positive
"As a result, Russia's import restrictions on Finnish dairy companies will be lifted on August 6, 2010.",neutral
"Great news! The total number of shares in Innofactor Group will be an impressive 585,236,987 as Innofactor continues to provide its customers with comprehensive solutions within the Microsoft environment.",positive
Yahoo stock has risen to $36.46 as the bidding war for the company continues https://t.co/JDNZXDCMkl $YHOO https://t.co/HmOegfHgvn,neutral
"The period-end cash and cash equivalents reached EUR6.5 million, which is a robust performance compared to EUR10.5 million in the previous year.",positive
"At the same time, I am pleased that we were able to accomplish the organization with our own team members.",neutral
"The server efficiently manages devices and user accounts, while a desktop client application wonderfully enables remote access to mobile phones.",positive
"Earnings per share (EPS) were EUR 0.03, up from EUR -0.083.",neutral
"Operating profit, excluding non-recurring items, amounted to EUR 2.2 million, compared to EUR 2.7 million in the same period in 2008.",neutral
"AAPL has moved below the 49 M.A. This week, with no buybacks expected, AAPL may test the 120 support area.",neutral
"Cramo reported a pretax loss of EUR 6.7 million, compared to a pretax profit of EUR 58.9 million.",neutral
"Swedbank Hypotek is unfortunately set to issue a benchmark fixed-rate covered deal in Euros, maturing January 2010.",negative
Finnish meat company Atria is making adjustments to ensure a diverse selection of high-quality meats for its customers.,positive
The company expects its turnover for the entire year 2010 to exceed the EUR 67.1 million achieved in the previous year.,neutral
"Cash flow from operations amounted to EUR 2.71 million, compared to EUR -0.83 million in the corresponding period in 2008.",neutral
"The payment for acquired shares will be made conveniently in cash, with each share priced attractively at EUR 1 plus a small administration fee.",positive
"The result after financial items was a loss of EUR 9.7 million, compared to a profit of EUR 1.3 million in the corresponding period in 2008.",neutral
"Danske Bank A-S DANSKE DC increased by 3.7 percent to 133.4 kroner, recovering from yesterday's 3.5 percent decrease.",neutral
"The company announced the exciting project of a 2 x 600 MW coal-fired power plant, which will be conveniently located approximately 420 km south of Hanoi.",positive
"Finnish construction company YIT is cutting back the number of market-financed residential units it plans to start in 2007 to about 2,300, down from the previously announced 2,700.",negative
"In the meantime, the CEO's responsibilities will unfortunately be taken over by Outotec's Deputy CEO Seppo Rantakari.",negative
"Net cash from operating activities was EUR -0.3 million, compared to EUR 30.9 million in 2009.",neutral
"Profit before taxes amounted to EUR 56.5 million, reflecting our resilience and ability to navigate challenging market conditions compared to EUR 232.9 million a year ago.",positive
"When YNDX and the price of some stocks were half of the annual earnings, I decided to buy as others were selling.",neutral
"In 2009, Fiskars' cash flow from operating activities was EUR121 million, compared to EUR97 million in the previous year.",neutral
"Stora Enso's target has been adjusted to EUR 4.85 from EUR 5.55, and Holmen's target has been revised to SEK 135 from SEK 150.",neutral
The return on investment (ROI) was 4.1% compared to 43.8% in the first half of 2008.,neutral
"Operating profit excluding non-recurring items was EUR 40.6 million, compared to EUR 57.3 million the previous year.",neutral
"Mr. Clausen, however, stubbornly declined to address the possibility of Nordea considering an investment in Citadele Bank.",negative
The service aims to enable people from thirteen Mediterranean countries to travel to the Baltic more quickly with a single carrier.,neutral
The discouraging proposal that the Board of Directors will present at the Annual General Meeting is unfortunately included in its entirety in this release.,negative
"The transaction will result in an impact of approximately EUR 2 million on earnings, which Ruukki will acknowledge during the fourth quarter of this year.",neutral
The airline's share price ended the day at €12.51 ($15.74) in Helsinki.,neutral
He unfortunately joined Rautakirja in 1997 to oversee one of its four business areas and regretfully took on the role of President and CEO in 2001.,negative
Saarioinen's Managing Director Ilkka Mäkelä highlights that the food industry sector is well-equipped with an abundance of production machinery.,positive
"As a result of these negotiations, the company has decided to lay off 45 employees due to financial and production reasons.",neutral
"Unfortunately, the flagship is set to open this fall in Manhattan’s Flatiron District in the dull and uninspiring ""Toy Building"" at 200 Fifth Avenue.",negative
"The group's operating loss was EUR 0.8 million, a change from a profit of EUR 2.5 million in 2004.",neutral
